mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total
ts,rnn,CBF,0.25,120,128,False,30,1,1,0.0001,0,False,2,120,training/finetune/CBF_ts_rnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen30_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=105-step=30528.ckpt,208339,208339,training/finetune/CBF_ts_rnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen30_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.4153908789157867,0.4153908789157867,0.2725045084953308,0.3356017172336578,0.3356017172336578,0.2105081677436828,32,32,2,4,200,384,384,23.416998330503706,8502.159961231053,8525.576959561557
ts,rnn,CBF,0.25,120,128,False,70,1,1,0.0001,0,False,2,120,training/finetune/CBF_ts_rnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen70_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=32-step=9504.ckpt,413139,413139,training/finetune/CBF_ts_rnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen70_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.553871214389801,0.553871214389801,0.3355486989021301,0.4502722322940826,0.4502722322940826,0.2425093054771423,32,32,2,4,200,384,384,26.962650248780847,10266.713504802436,10293.676155051216
ts,rnn,CBF,0.25,120,128,False,10,1,1,0.0001,0,False,2,120,training/finetune/CBF_ts_rnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=3-step=1152.ckpt,105939,105939,training/finetune/CBF_ts_rnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.3540089428424835,0.3540089428424835,0.2719088792800903,0.3710578680038452,0.3710578680038452,0.2163853794336319,32,32,2,4,200,384,384,34.214061211794615,13746.249452838674,13780.463514050469
ts,rnn,CBF,0.25,120,128,False,50,1,1,0.0001,0,False,2,120,training/finetune/CBF_ts_rnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen50_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=117-step=33984.ckpt,310739,310739,training/finetune/CBF_ts_rnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen50_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.5556823015213013,0.5556823015213013,0.32162997126579285,0.4431484639644623,0.4431484639644623,0.2597642242908478,32,32,2,4,200,384,384,14.722257006913424,18901.36136691086,18916.083623917773
