mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total
ts,rnn,Trace,0.25,120,128,False,70,1,1,0.0001,0,False,2,120,training/finetune/Trace_ts_rnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen70_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=3-step=1652.ckpt,413074,413074,training/finetune/Trace_ts_rnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen70_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.5820725560188293,0.5820725560188293,0.1297069936990738,0.5400425791740417,0.5400425791740417,0.1131884008646011,32,32,2,4,200,256,256,79.23431977629662,17104.42142120935,17183.655740985647
ts,rnn,Trace,0.25,120,128,False,10,1,1,0.0001,0,False,2,120,training/finetune/Trace_ts_rnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=18-step=7847.ckpt,105874,105874,training/finetune/Trace_ts_rnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.5315678715705872,0.5315678715705872,0.1393437683582306,0.5479095578193665,0.5479095578193665,0.1095279455184936,32,32,2,4,200,256,256,60.82150408811867,19974.4243214,20035.24582548812
ts,rnn,Trace,0.25,120,128,False,30,1,1,0.0001,0,False,2,120,training/finetune/Trace_ts_rnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen30_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=37-step=15694.ckpt,208274,208274,training/finetune/Trace_ts_rnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen30_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.5492837429046631,0.5492837429046631,0.1418306529521942,0.5630446076393127,0.5630446076393127,0.1065197587013244,32,32,2,4,200,256,256,60.08098419755697,26719.124774983156,26779.20575918071
ts,rnn,Trace,0.25,120,128,False,50,1,1,0.0001,0,False,2,120,training/finetune/Trace_ts_rnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen50_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=7-step=3304.ckpt,310674,310674,training/finetune/Trace_ts_rnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen50_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.5629726648330688,0.5629726648330688,0.14184822142124176,0.5553513169288635,0.5553513169288635,0.11084313690662384,32,32,2,4,200,256,256,54.29601702094078,41999.52716168016,42053.8231787011
