mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total
ts,cnn,ECG200,0.25,120,128,False,10,1,1,0.0001,0,False,1,120,training/finetune/ECG200_ts_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=102-step=14832.ckpt,106290,106290,training/finetune/ECG200_ts_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.6122781038284302,0.6122781038284302,0.4420671164989471,0.6606910228729248,0.6606910228729248,0.256775826215744,32,32,2,4,200,256,256,6.80324381031096,1356.6963162049651,1363.499560015276
ts,cnn,ECG200,0.25,120,128,False,50,1,1,0.0001,0,False,1,120,training/finetune/ECG200_ts_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen50_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=119-step=17280.ckpt,229170,229170,training/finetune/ECG200_ts_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen50_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.6612297892570496,0.6612297892570496,0.4962530732154846,0.6923599243164062,0.6923599243164062,0.3195194005966186,32,32,2,4,200,256,256,5.947894113138318,1507.4000303130597,1513.347924426198
ts,cnn,ECG200,0.25,120,128,False,30,1,1,0.0001,0,False,1,120,training/finetune/ECG200_ts_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen30_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=114-step=16560.ckpt,167730,167730,training/finetune/ECG200_ts_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen30_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.6686766743659973,0.6686766743659973,0.4843158721923828,0.7228337526321411,0.7228337526321411,0.2841626703739166,32,32,2,4,200,256,256,8.699576107785106,1792.235486727208,1800.935062834993
ts,cnn,ECG200,0.25,120,128,False,70,1,1,0.0001,0,False,1,120,training/finetune/ECG200_ts_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen70_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=68-step=9936.ckpt,290610,290610,training/finetune/ECG200_ts_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen70_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.6746653318405151,0.6746653318405151,0.5180208683013916,0.6926655769348145,0.6926655769348145,0.30577555298805237,32,32,2,4,200,256,256,12.05611996166408,2326.8714192230254,2338.9275391846895
