mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,stride_series,window_time_stride,window_patt_stride,learning_rate,random_state,nepochs,best_model,total_params,trainable_params,metrics_csv,val_mse,val_r2,time_dm,time_train,time_total
df,cnn,ArrowHead,0.25,60,128,True,10,False,7,1,0.0001,0,60,training/pretrain/ArrowHead_df_cnn/logs/wlen10_stride0_wtst7_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/checkpoints/epoch=57-step=85318.ckpt,420794,420794,training/pretrain/ArrowHead_df_cnn/logs/wlen10_stride0_wtst7_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/metrics.csv,0.1114610359072685,0.9708086848258972,275.89048587344587,46923.40292369574,47199.29340956919
df,cnn,ArrowHead,0.25,60,128,True,10,True,7,1,0.0001,0,60,training/pretrain/ArrowHead_df_cnn/logs/wlen10_stride1_wtst7_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/checkpoints/epoch=59-step=88260.ckpt,416894,416894,training/pretrain/ArrowHead_df_cnn/logs/wlen10_stride1_wtst7_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/metrics.csv,0.095364362001419,0.9785675406455994,255.5393479689956,47454.45447319001,47709.993821159005
gf,cnn,ArrowHead,0.25,60,128,True,10,True,7,1,0.0001,0,60,training/pretrain/ArrowHead_gf_cnn/logs/wlen10_stride1_wtst7_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/checkpoints/epoch=9-step=14710.ckpt,416894,416894,training/pretrain/ArrowHead_gf_cnn/logs/wlen10_stride1_wtst7_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/metrics.csv,0.0415018536150455,0.9956338405609132,12.643883123993874,66020.28903277032,66032.93291589431
gf,cnn,ArrowHead,0.25,60,128,True,10,False,7,1,0.0001,0,60,training/pretrain/ArrowHead_gf_cnn/logs/wlen10_stride0_wtst7_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/checkpoints/epoch=48-step=72079.ckpt,420794,420794,training/pretrain/ArrowHead_gf_cnn/logs/wlen10_stride0_wtst7_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/metrics.csv,0.07314778864383698,0.9865909218788147,11.825974797829986,68954.4650317803,68966.29100657813
