mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total
ts,res,GunPoint,0.25,120,128,False,10,1,1,0.0001,0,False,1,120,training/finetune/GunPoint_ts_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=8-step=2025.ckpt,97938,97938,training/finetune/GunPoint_ts_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.5591330528259277,0.5591330528259277,0.2551876306533813,0.5445663332939148,0.5445663332939148,0.2100335508584976,32,32,2,4,200,256,256,13.359388511627913,5466.604011433199,5479.963399944827
ts,res,GunPoint,0.25,120,128,False,30,1,1,0.0001,0,False,1,120,training/finetune/GunPoint_ts_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen30_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=24-step=5625.ckpt,97938,97938,training/finetune/GunPoint_ts_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen30_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.586113452911377,0.586113452911377,0.2711625695228576,0.5924455523490906,0.5924455523490906,0.3058182895183563,32,32,2,4,200,256,256,15.801056504249573,5723.131058566272,5738.932115070522
ts,res,GunPoint,0.25,120,128,False,50,1,1,0.0001,0,False,1,120,training/finetune/GunPoint_ts_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen50_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=23-step=5400.ckpt,97938,97938,training/finetune/GunPoint_ts_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen50_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.5727548003196716,0.5727548003196716,0.27232426404953,0.6584526896476746,0.6584526896476746,0.2786413133144378,32,32,2,4,200,256,256,14.959941320121288,6197.9410432409495,6212.900984561071
ts,res,GunPoint,0.25,120,128,False,70,1,1,0.0001,0,False,1,120,training/finetune/GunPoint_ts_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen70_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=49-step=11250.ckpt,97938,97938,training/finetune/GunPoint_ts_res/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen70_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.592151939868927,0.592151939868927,0.29187074303627014,0.6569882035255432,0.6569882035255432,0.3040890395641327,32,32,2,4,200,256,256,13.56698739156127,6615.740738300607,6629.307725692168
