mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total
ts,cnn,GunPoint,0.25,120,128,False,10,1,1,0.0001,0,False,2,120,training/finetune/GunPoint_ts_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=100-step=22725.ckpt,106290,106290,training/finetune/GunPoint_ts_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.5554860830307007,0.5554860830307007,0.2641211748123169,0.5077195167541504,0.5077195167541504,0.2025975733995437,32,32,2,4,200,256,256,18.207363963127136,7615.514095308259,7633.721459271386
ts,cnn,GunPoint,0.25,120,128,False,50,1,1,0.0001,0,False,2,120,training/finetune/GunPoint_ts_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen50_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=9-step=2250.ckpt,229170,229170,training/finetune/GunPoint_ts_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen50_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.5197663307189941,0.5197663307189941,0.2392265349626541,0.590770959854126,0.590770959854126,0.2371314316987991,32,32,2,4,200,256,256,22.59553493931889,9420.118507878857,9442.714042818174
ts,cnn,GunPoint,0.25,120,128,False,30,1,1,0.0001,0,False,2,120,training/finetune/GunPoint_ts_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen30_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=64-step=14625.ckpt,167730,167730,training/finetune/GunPoint_ts_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen30_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.5572351813316345,0.5572351813316345,0.2333716303110122,0.5914778709411621,0.5914778709411621,0.2395746260881424,32,32,2,4,200,256,256,25.38301750086248,9751.844522321597,9777.22753982246
ts,cnn,GunPoint,0.25,120,128,False,70,1,1,0.0001,0,False,2,120,training/finetune/GunPoint_ts_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen70_val0.25_me120_bs128_lr0.0001_rs0_cv2/checkpoints/epoch=119-step=27000.ckpt,290610,290610,training/finetune/GunPoint_ts_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen70_val0.25_me120_bs128_lr0.0001_rs0_cv2/metrics.csv,0.5199332237243652,0.5199332237243652,0.27078428864479065,0.5984830856323242,0.5984830856323242,0.21740742027759552,32,32,2,4,200,256,256,26.70728853903711,10655.460426274687,10682.167714813724
