mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total
ts,rnn,CBF,0.25,120,128,False,30,1,1,0.0001,0,False,0,120,training/finetune/CBF_ts_rnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen30_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=37-step=10944.ckpt,208339,208339,training/finetune/CBF_ts_rnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen30_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.4747557044029236,0.4747557044029236,0.3267644047737121,0.4887950122356415,0.4887950122356415,0.2737069129943847,32,32,2,4,200,384,384,16.763728769496083,5032.640463111922,5049.404191881418
ts,rnn,CBF,0.25,120,128,False,10,1,1,0.0001,0,False,0,120,training/finetune/CBF_ts_rnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=0-step=288.ckpt,105939,105939,training/finetune/CBF_ts_rnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.3582417666912079,0.3582417666912079,0.2729832530021667,0.3450310826301574,0.3450310826301574,0.2232337146997451,32,32,2,4,200,384,384,31.182487044483423,8744.023580206558,8775.206067251042
ts,rnn,CBF,0.25,120,128,False,70,1,1,0.0001,0,False,0,120,training/finetune/CBF_ts_rnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen70_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=93-step=27072.ckpt,413139,413139,training/finetune/CBF_ts_rnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen70_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.5229828953742981,0.5229828953742981,0.3331839442253113,0.5673155784606934,0.5673155784606934,0.3242049515247345,32,32,2,4,200,384,384,21.137573847547174,19477.516816860065,19498.65439070761
ts,rnn,CBF,0.25,120,128,False,50,1,1,0.0001,0,False,0,120,training/finetune/CBF_ts_rnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen50_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=14-step=4320.ckpt,310739,310739,training/finetune/CBF_ts_rnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen50_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.47877800464630127,0.47877800464630127,0.34052184224128723,0.5070257186889648,0.5070257186889648,0.3030322790145874,32,32,2,4,200,384,384,23.766213132068515,23321.879871739075,23345.646084871143
