mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total
ts,rnn,CBF,0.25,120,128,False,10,1,1,0.0001,0,False,4,120,training/finetune/CBF_ts_rnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=26-step=7776.ckpt,105939,105939,training/finetune/CBF_ts_rnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.3709401786327362,0.3709401786327362,0.2794478833675384,0.3435069620609283,0.3435069620609283,0.2258312702178955,32,32,2,4,200,384,384,16.759488217532635,4770.622966021299,4787.382454238832
ts,rnn,CBF,0.25,120,128,False,30,1,1,0.0001,0,False,4,120,training/finetune/CBF_ts_rnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen30_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=115-step=33408.ckpt,208339,208339,training/finetune/CBF_ts_rnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen30_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.4394136667251587,0.4394136667251587,0.293004035949707,0.4029488861560821,0.4029488861560821,0.2550466954708099,32,32,2,4,200,384,384,17.93955565802753,5055.500636385754,5073.440192043781
ts,rnn,CBF,0.25,120,128,False,50,1,1,0.0001,0,False,4,120,training/finetune/CBF_ts_rnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen50_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=65-step=19008.ckpt,310739,310739,training/finetune/CBF_ts_rnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen50_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.5703462362289429,0.5703462362289429,0.3264172375202179,0.4872989058494568,0.4872989058494568,0.278719961643219,32,32,2,4,200,384,384,16.875403998419642,5665.512186463922,5682.387590462342
ts,rnn,CBF,0.25,120,128,False,70,1,1,0.0001,0,False,4,120,training/finetune/CBF_ts_rnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen70_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=117-step=33984.ckpt,413139,413139,training/finetune/CBF_ts_rnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen70_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.6352893114089966,0.6352893114089966,0.367158979177475,0.5124368071556091,0.5124368071556091,0.30300942063331604,32,32,2,4,200,384,384,17.257204622030258,6154.044274283573,6171.301478905603
