mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,stride_series,window_time_stride,window_patt_stride,learning_rate,random_state,nepochs,best_model,total_params,trainable_params,metrics_csv,val_mse,val_r2,time_dm,time_train,time_total
df,res,Trace,0.25,60,128,True,10,True,15,1,0.0001,0,60,training/pretrain/Trace_df_res/logs/wlen10_stride1_wtst15_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/checkpoints/epoch=48-step=78939.ckpt,142258,142258,training/pretrain/Trace_df_res/logs/wlen10_stride1_wtst15_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/metrics.csv,0.2513101696968078,-3.6218299865722656,115.64154955372214,193458.81944267824,193574.460992232
gf,res,Trace,0.25,60,128,True,10,True,15,1,0.0001,0,60,training/pretrain/Trace_gf_res/logs/wlen10_stride1_wtst15_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/checkpoints/epoch=58-step=95049.ckpt,142258,142258,training/pretrain/Trace_gf_res/logs/wlen10_stride1_wtst15_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/metrics.csv,0.0581195764243602,0.4862030446529388,12.050438210368156,207309.68709834293,207321.7375365533
gf,res,Trace,0.25,60,128,True,10,False,15,1,0.0001,0,60,training/pretrain/Trace_gf_res/logs/wlen10_stride0_wtst15_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/checkpoints/epoch=12-step=20943.ckpt,151358,151358,training/pretrain/Trace_gf_res/logs/wlen10_stride0_wtst15_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/metrics.csv,0.3755746781826019,-5.273816108703613,12.446790046989918,352972.6070459485,352985.0538359955
df,res,Trace,0.25,60,128,True,10,False,15,1,0.0001,0,60,training/pretrain/Trace_df_res/logs/wlen10_stride0_wtst15_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/checkpoints/epoch=48-step=78939.ckpt,151358,151358,training/pretrain/Trace_df_res/logs/wlen10_stride0_wtst15_wpst1_val0.25_me60_bs128_stsl1000_lr0.0001_rs0/metrics.csv,0.3455730974674225,-6.840104579925537,181.89224272221327,393070.696781341,393252.5890240632
